age,dailyrate,distancefromhome,education,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,worklifebalance,yearsatcompany,attrition,synthetic
30,438,28,1,1,38,1,1,1,1483,8,1,13,3,1,0,2,1,1,1,1
29,410,15,4,2,87,2,3,1,14945,3,0,18,3,1,1,14,1,10,0,1
23,539,26,1,1,34,1,1,1,1285,4,1,12,3,1,0,2,1,1,1,1
35,1239,1,3,3,87,3,3,3,8467,2,0,16,3,4,1,20,3,15,0,1
45,948,2,4,4,90,3,4,3,5305,2,0,24,3,3,2,15,3,11,0,1
29,301,27,1,1,44,1,1,1,2951,5,1,13,3,1,0,1,1,0,1,1
42,1106,3,3,3,70,3,3,4,7530,2,0,17,3,4,1,16,3,16,0,1
27,242,19,1,1,43,1,1,1,2477,4,1,13,3,1,0,3,1,0,1,1
28,357,21,1,1,61,3,1,4,7724,2,1,11,3,3,2,22,2,14,1,1
48,1300,14,1,2,77,2,3,3,4084,6,1,17,3,3,2,12,1,22,0,1
28,441,14,2,3,75,2,1,4,5383,6,1,12,3,2,2,19,2,18,1,1
23,1010,18,3,1,93,3,1,1,3928,6,0,16,3,1,1,3,2,3,1,1
35,800,10,1,4,92,2,1,3,10631,7,0,15,3,4,1,26,1,17,0,1
36,1158,21,3,1,95,1,2,3,8996,4,0,19,3,2,1,18,3,2,0,1
22,311,29,4,1,46,2,2,4,13090,1,0,21,3,3,1,9,2,15,1,1
22,482,3,4,2,38,1,1,2,7820,0,1,11,3,4,2,18,3,7,1,1
44,1274,3,3,3,67,3,3,4,5233,2,0,18,3,3,1,10,3,19,0,1
54,1340,17,2,4,79,2,2,2,14092,3,0,24,3,2,2,28,2,11,1,1
22,593,16,2,1,48,1,1,1,1057,8,1,11,3,1,0,4,1,0,1,1
33,1086,3,4,3,71,3,3,3,13684,1,0,20,3,3,2,22,3,14,0,1
41,580,13,4,1,68,2,1,2,2946,3,0,15,3,2,0,6,2,8,0,1
31,645,26,4,2,53,2,1,1,1400,7,0,17,3,1,2,2,2,11,0,1
26,209,15,2,1,49,1,1,1,1261,5,1,11,3,1,0,3,1,0,1,1
25,1124,5,2,4,70,3,1,2,10840,8,0,16,3,4,2,1,2,4,1,1
24,588,16,1,1,32,1,1,1,1208,6,1,11,3,1,0,3,1,0,1,1
36,633,29,2,4,68,1,1,4,10447,3,1,14,3,4,1,11,2,12,0,1
36,1083,4,3,4,68,3,3,3,5016,1,0,21,3,3,1,17,3,10,0,1
24,1392,15,4,1,71,1,1,3,9347,5,0,22,3,1,2,3,3,13,0,1
52,1355,3,2,4,39,2,1,4,9988,4,0,17,3,1,1,20,3,9,0,1
54,477,21,1,1,44,3,2,2,8199,5,0,20,3,1,2,6,3,10,0,1
50,1333,28,3,3,65,1,3,1,3160,3,0,23,3,4,2,1,2,0,1,1
36,920,12,2,4,99,1,2,1,14023,2,1,20,3,4,1,6,3,24,1,1
44,811,1,4,4,84,3,2,3,10315,2,0,24,3,3,1,14,3,13,0,1
35,823,23,1,3,66,2,3,1,7995,7,1,15,3,1,0,18,1,21,1,1
50,241,3,1,4,84,3,3,1,10901,6,0,18,3,3,2,27,3,2,1,1
35,1130,28,2,2,36,3,3,1,4234,1,0,14,3,2,2,28,3,23,1,1
27,527,29,1,1,34,1,1,1,2139,7,1,13,3,1,0,2,1,1,1,1
44,1125,3,3,4,99,3,2,3,7426,2,0,18,3,3,1,12,3,7,0,1
32,948,3,4,4,91,3,3,3,11229,2,0,21,3,4,2,15,3,5,0,1
25,351,29,2,1,36,1,1,1,2581,8,1,12,3,1,0,3,1,1,1,1
25,599,16,2,1,39,1,1,1,2487,6,1,12,3,1,0,1,1,1,1,1
30,493,26,1,1,46,1,1,1,1896,6,1,12,3,1,0,4,1,1,1,1
36,1385,4,3,4,69,3,4,4,6196,1,0,16,3,3,2,24,3,14,0,1
30,598,26,2,1,50,1,1,1,1827,6,1,12,3,1,0,1,1,1,1,1
47,813,19,4,4,80,3,1,2,7064,8,0,11,3,1,0,15,2,1,1,1
46,1058,2,4,3,61,3,3,4,7056,2,0,18,3,3,1,13,3,14,0,1
30,1326,12,2,1,66,1,4,4,12795,8,0,17,3,1,2,18,3,10,0,1
41,912,3,4,4,82,3,4,4,7657,1,0,18,3,4,2,8,3,6,0,1
32,955,2,4,4,70,3,2,3,12264,1,0,21,3,4,2,12,3,8,0,1
32,1395,2,4,4,86,3,4,3,5617,1,0,20,3,3,2,14,3,8,0,1
26,473,19,1,1,33,1,1,1,2356,5,1,11,3,1,0,1,1,0,1,1
24,504,15,2,1,48,1,1,1,2971,4,1,11,3,1,0,1,1,1,1,1
53,504,4,4,1,61,1,1,1,1712,0,1,12,3,2,2,14,2,1,0,1
44,957,11,1,3,80,3,1,4,12170,0,1,22,3,3,2,27,1,10,0,1
40,1103,15,2,2,34,1,2,2,8531,6,1,23,3,1,0,19,1,4,1,1
41,1399,12,1,1,46,2,3,3,12066,2,0,22,3,4,2,10,2,1,1,1
38,670,14,4,1,33,2,3,1,6906,7,1,13,3,4,1,26,3,6,1,1
45,1063,3,4,3,99,3,2,3,8742,2,0,18,3,3,2,13,3,15,0,1
28,382,19,1,1,34,1,1,1,1814,5,1,13,3,1,0,2,1,2,1,1
44,257,18,2,2,47,2,2,3,13125,6,0,15,3,1,1,17,1,24,1,1
46,1134,3,3,4,99,3,4,4,10134,1,0,20,3,4,1,15,3,19,0,1
31,379,29,2,1,42,1,1,1,1535,7,1,13,3,1,0,2,1,1,1,1
22,416,2,2,4,42,1,4,4,12415,3,1,17,3,1,1,20,2,19,1,1
26,257,22,2,1,54,1,1,1,2302,7,1,13,3,1,0,1,1,0,1,1
22,408,18,2,1,38,1,1,1,2707,7,1,11,3,1,0,4,1,2,1,1
38,1270,1,3,4,63,3,2,4,6825,1,0,19,3,4,1,10,3,13,0,1
22,348,26,1,1,32,1,1,1,2475,7,1,13,3,1,0,4,1,2,1,1
40,1094,3,3,3,71,3,3,3,8044,2,0,19,3,3,2,12,3,18,0,1
48,428,16,3,4,63,2,1,2,11326,4,0,24,3,4,1,29,1,9,0,1
44,1110,4,4,3,84,3,2,4,12159,2,0,21,3,3,2,23,3,9,0,1
52,1181,12,4,3,81,3,1,4,3746,7,0,16,3,2,0,10,2,2,0,1
25,588,10,4,1,60,2,4,3,7468,4,0,17,3,1,2,20,3,11,1,1
31,760,17,2,2,92,1,4,3,9586,0,1,12,3,2,0,4,1,20,0,1
29,422,20,3,4,90,3,2,3,12208,6,1,14,3,3,0,10,1,14,1,1
28,559,6,4,4,79,2,2,1,12419,5,1,17,3,3,0,0,3,2,1,1
26,806,19,1,3,30,2,2,3,10369,1,1,19,3,1,2,8,3,10,0,1
43,1093,4,3,4,75,3,4,3,8051,1,0,20,3,3,2,9,3,19,0,1
24,313,29,1,1,53,1,1,1,2920,7,1,13,3,1,0,1,1,2,1,1
41,811,3,4,4,82,3,3,3,12711,1,0,21,3,4,1,18,3,18,0,1
53,754,4,1,4,32,1,2,1,6950,7,1,13,3,3,1,9,1,13,0,1
22,481,25,2,1,51,1,1,1,2561,8,1,13,3,1,0,2,1,2,1,1
39,409,24,2,3,35,2,1,3,11069,2,0,13,3,1,2,22,2,17,1,1
37,981,2,3,3,76,3,4,4,12089,2,0,16,3,3,1,8,3,9,0,1
26,501,27,1,1,35,1,1,1,1773,6,1,11,3,1,0,2,1,2,1,1
40,396,25,3,2,46,2,3,4,5625,1,0,24,3,4,1,18,3,1,1,1
42,1009,1,4,4,83,3,4,3,11502,5,0,12,3,1,1,23,3,9,1,1
32,717,21,2,1,48,3,4,2,11338,3,1,21,3,1,2,20,2,1,1,1
31,265,22,1,1,35,1,1,1,2002,6,1,12,3,1,0,4,1,1,1,1
24,844,10,2,4,87,1,1,1,6250,4,0,20,3,4,0,7,1,8,1,1
42,1358,7,3,3,56,1,4,3,7337,6,0,12,3,2,1,9,2,17,0,1
35,1013,29,4,1,45,2,1,4,9152,5,1,12,3,2,2,23,3,23,1,1
34,698,26,3,3,84,1,4,3,10603,4,1,16,3,3,0,25,1,16,0,1
50,1342,20,1,3,34,3,1,2,5741,0,1,11,3,1,1,7,1,4,1,1
29,879,1,1,1,34,1,4,1,2270,6,0,19,3,2,2,18,1,6,1,1
30,209,29,2,2,76,2,1,2,9632,5,1,19,3,2,1,0,2,23,0,1
29,515,15,2,1,46,1,1,1,2368,4,1,11,3,1,0,1,1,2,1,1
40,1123,2,4,4,76,3,3,4,6315,2,0,21,3,4,2,21,3,13,0,1
35,928,3,3,3,99,3,4,3,5064,1,0,21,3,3,1,8,3,10,0,1
25,414,21,2,1,54,1,1,1,1395,4,1,11,3,1,0,3,1,1,1,1
25,292,26,1,1,30,1,1,1,2033,5,1,13,3,1,0,2,1,0,1,1
38,894,4,3,3,65,3,3,3,7118,2,0,23,3,3,2,23,3,7,0,1
32,1347,4,4,4,98,3,3,4,11301,2,0,17,3,3,1,17,3,14,0,1
53,945,10,3,4,44,1,3,2,4954,2,1,18,3,1,2,15,2,14,0,1
48,1307,9,4,4,34,1,2,4,6909,6,1,24,3,2,1,4,3,4,0,1
31,204,21,1,1,47,1,1,1,2560,8,1,12,3,1,0,2,1,2,1,1
33,1119,2,3,4,82,3,3,4,10852,1,0,15,3,4,1,19,3,5,0,1
22,262,22,1,1,31,1,1,1,1422,6,1,13,3,1,0,1,1,0,1,1
28,410,15,1,1,47,1,1,1,1503,4,1,13,3,1,0,4,1,0,1,1
38,1041,3,3,3,78,3,3,3,10161,2,0,21,3,3,2,9,3,7,0,1
31,304,22,2,1,40,1,1,1,1616,7,1,13,3,1,0,1,1,2,1,1
30,904,1,3,3,99,3,4,3,13964,1,0,17,3,3,2,24,3,13,0,1
27,1064,21,4,3,68,2,2,1,3446,5,1,18,3,4,0,27,1,0,1,1
29,1288,26,3,3,78,1,2,4,3758,7,0,15,3,3,1,1,1,16,0,1
36,1114,19,2,1,48,3,3,1,11419,2,0,22,3,4,1,11,2,16,0,1
31,848,2,3,3,88,3,2,3,8032,2,0,20,3,3,2,12,3,16,0,1
32,287,7,2,1,49,1,2,1,3478,3,1,22,3,4,1,29,2,4,1,1
33,1008,3,4,3,85,3,2,3,7827,1,0,21,3,4,2,9,3,8,0,1
43,807,27,4,4,44,2,2,2,2154,4,0,18,3,3,1,2,2,6,1,1
22,922,7,4,4,54,2,3,1,7940,1,0,13,3,2,0,8,3,14,1,1
23,430,20,2,1,45,1,1,1,1129,7,1,13,3,1,0,4,1,1,1,1
24,225,23,1,1,34,1,1,1,1641,6,1,12,3,1,0,2,1,1,1,1
49,1208,4,3,3,73,3,4,4,5426,1,0,21,3,4,2,12,3,19,0,1
37,1150,15,3,1,67,1,2,3,8593,7,0,24,3,1,0,26,1,6,0,1
26,535,16,1,1,52,1,1,1,1694,7,1,11,3,1,0,2,1,0,1,1
40,962,5,4,3,47,3,3,2,3964,6,0,14,3,1,0,12,2,15,1,1
42,1044,4,3,3,74,3,2,3,6156,2,0,20,3,4,2,13,3,18,0,1
26,224,27,2,1,49,1,1,1,1758,7,1,11,3,1,0,1,1,2,1,1
49,825,2,4,3,96,3,2,3,5522,1,0,17,3,4,2,8,3,7,0,1
35,485,26,2,1,44,2,2,2,2466,0,1,18,3,3,2,28,1,10,0,1
48,1364,3,3,4,68,3,4,4,10855,2,0,20,3,3,1,12,3,12,0,1
24,607,13,3,1,80,2,3,1,7590,1,1,12,3,1,2,15,2,15,1,1
54,703,19,4,3,33,2,1,4,10010,0,0,11,3,4,1,21,3,10,0,1
37,1397,1,4,4,88,3,3,3,9116,1,0,22,3,3,2,19,3,10,0,1
41,383,3,4,2,65,2,3,1,4221,0,0,19,3,1,1,18,2,10,1,1
33,1098,4,3,4,69,3,4,3,7780,2,0,21,3,3,1,16,3,14,0,1
25,807,29,2,1,50,2,2,1,6567,7,1,22,3,1,2,23,1,0,1,1
24,595,17,1,1,42,1,1,1,1734,5,1,13,3,1,0,4,1,1,1,1
28,591,27,2,1,40,1,1,1,1924,7,1,12,3,1,0,1,1,2,1,1
38,1254,21,2,4,67,1,1,4,6885,1,1,13,3,2,1,7,1,20,1,1
32,1359,3,3,3,65,3,4,3,8861,2,0,20,3,3,2,22,3,16,0,1
43,1201,6,4,1,38,2,4,1,8101,3,1,20,3,4,2,18,1,15,0,1
54,273,18,3,2,72,2,3,4,11970,5,0,24,3,3,1,14,3,9,1,1
48,1084,1,4,3,85,3,2,3,10672,1,0,18,3,4,2,16,3,13,0,1
24,889,17,4,2,95,3,4,3,12734,6,1,19,3,3,1,27,3,1,0,1
26,434,27,4,3,35,2,1,1,10785,0,0,24,3,2,1,7,2,6,1,1
44,1016,3,3,4,94,3,4,3,8299,1,0,19,3,4,2,15,3,6,0,1
25,364,27,1,1,50,1,1,1,2247,7,1,13,3,1,0,4,1,0,1,1
23,270,15,1,1,32,1,1,1,2308,6,1,11,3,1,0,2,1,1,1,1
34,1175,2,4,3,80,3,4,4,10012,1,0,15,3,3,1,21,3,15,0,1
23,461,27,1,1,35,1,1,1,2652,8,1,13,3,1,0,1,1,0,1,1
22,596,11,3,3,32,2,1,1,9167,0,0,24,3,1,1,23,2,22,0,1
35,922,2,3,4,99,3,2,4,6566,2,0,15,3,3,1,10,3,8,0,1
43,1006,4,3,4,69,3,3,4,14238,2,0,15,3,4,2,19,3,13,0,1
43,505,20,2,4,92,2,3,4,11860,2,1,23,3,3,2,27,3,13,1,1
31,1272,15,3,1,97,3,3,4,14383,0,0,11,3,3,0,17,2,0,0,1
22,458,25,1,1,35,1,1,1,1990,6,1,12,3,1,0,3,1,0,1,1
48,1274,4,4,4,67,3,2,3,13066,1,0,21,3,3,2,16,3,13,0,1
31,499,25,1,1,50,1,1,1,2472,7,1,11,3,1,0,3,1,1,1,1
33,1127,2,4,3,74,3,2,4,13464,2,0,24,3,3,1,9,3,12,0,1
46,906,1,4,4,87,3,3,4,11387,2,0,15,3,4,1,22,3,8,0,1
34,1326,3,4,3,69,3,2,4,10926,1,0,23,3,4,2,15,3,10,0,1
30,337,24,1,1,32,1,1,1,2242,7,1,13,3,1,0,3,1,2,1,1
44,1020,3,3,4,64,3,3,3,9545,2,0,21,3,4,2,21,3,7,0,1
44,823,1,3,4,90,3,3,3,14557,2,0,19,3,4,2,17,3,12,0,1
30,246,26,1,1,54,1,1,1,2125,7,1,13,3,1,0,4,1,0,1,1
34,834,13,4,2,50,1,3,3,12353,7,0,20,3,3,1,8,3,15,0,1
34,945,4,4,4,82,3,3,3,14218,2,0,21,3,3,1,8,3,13,0,1
35,419,21,1,4,35,2,1,1,3808,3,0,11,3,2,2,1,3,19,0,1
37,1181,1,3,4,82,3,3,3,9174,2,0,17,3,4,2,21,3,7,0,1
22,233,19,4,2,33,1,2,4,3184,6,1,12,3,3,1,23,2,21,1,1
46,945,16,4,1,44,1,3,4,12037,4,0,19,3,2,2,6,2,19,1,1
52,306,7,2,4,40,2,3,4,10297,1,0,11,3,3,1,20,1,5,0,1
36,1154,4,3,4,77,3,4,3,9355,1,0,18,3,3,2,15,3,12,0,1
22,470,23,2,1,35,1,1,1,2193,8,1,12,3,1,0,1,1,2,1,1
24,1149,22,2,3,89,3,3,4,7932,8,1,20,3,3,0,3,1,20,1,1
27,370,28,4,1,50,1,4,1,2264,7,1,22,3,2,0,14,2,1,1,1
29,915,26,3,2,44,2,4,1,3810,2,1,23,3,4,1,5,1,22,1,1
25,404,25,2,1,32,1,1,1,2196,8,1,12,3,1,0,1,1,0,1,1
32,1379,2,4,4,74,3,2,4,8900,2,0,15,3,3,2,10,3,7,0,1
34,568,1,2,1,32,2,4,1,2455,3,0,24,3,4,1,7,3,2,0,1
23,1046,9,3,1,81,2,3,2,6271,6,1,17,3,1,1,25,2,1,1,1
22,445,18,2,1,52,1,1,1,2004,6,1,13,3,1,0,1,1,2,1,1
27,398,28,1,1,44,1,1,1,2971,5,1,12,3,1,0,1,1,2,1,1
45,1174,3,4,4,46,3,2,2,4569,5,1,16,3,4,2,3,1,15,1,1
28,1025,17,1,4,55,2,3,2,10819,1,1,17,3,3,0,18,1,23,0,1
34,962,3,3,3,64,3,3,4,13509,2,0,23,3,3,2,20,3,17,0,1
27,285,15,1,1,35,1,1,1,1653,6,1,13,3,1,0,1,1,1,1,1
41,924,2,3,3,75,3,4,4,7690,1,0,19,3,3,1,24,3,8,0,1
22,1206,7,3,4,59,3,3,2,4852,3,1,21,3,1,0,8,2,5,1,1
25,496,17,2,1,31,1,1,1,1782,4,1,11,3,1,0,4,1,1,1,1
31,912,28,4,3,97,3,2,4,11129,6,1,16,3,1,1,9,2,8,0,1
45,1368,29,4,2,78,1,1,3,14613,0,1,18,3,1,2,6,2,15,1,1
48,590,20,4,4,67,2,4,3,4803,6,1,12,3,4,2,19,1,7,1,1
29,425,23,2,1,35,1,1,1,2794,6,1,13,3,1,0,3,1,0,1,1
51,1219,18,4,4,76,3,2,3,6578,1,1,22,3,1,1,28,2,20,0,1
25,588,18,2,1,42,1,1,1,2037,8,1,13,3,1,0,3,1,0,1,1
47,850,4,3,4,85,3,3,4,12548,2,0,15,3,3,1,23,3,14,0,1
35,1397,1,3,4,63,3,3,4,10091,1,0,19,3,4,1,11,3,5,0,1
23,1360,23,1,1,47,1,2,1,14258,8,1,23,3,2,1,2,2,2,0,1
23,559,20,2,1,44,1,1,1,1300,6,1,12,3,1,0,1,1,0,1,1
31,276,22,2,1,38,1,1,1,2705,8,1,12,3,1,0,3,1,0,1,1
38,807,4,4,4,62,3,2,3,11497,2,0,15,3,4,2,21,3,18,0,1
26,507,15,1,1,44,1,1,1,1120,7,1,11,3,1,0,3,1,1,1,1
53,1337,27,2,1,74,2,2,4,5675,7,0,16,3,2,0,22,1,3,1,1
47,976,4,4,3,76,3,4,4,6372,1,0,19,3,3,2,9,3,6,0,1
31,962,12,1,3,42,2,3,4,6364,1,1,17,3,3,1,0,1,11,0,1
38,249,8,3,1,39,3,3,3,9219,3,1,17,3,1,1,11,1,1,0,1
54,1091,21,2,2,65,1,1,1,7452,5,0,12,3,1,0,26,3,4,1,1
26,374,27,2,1,34,1,1,1,2089,6,1,13,3,1,0,3,1,1,1,1
34,435,2,2,3,75,1,2,2,8911,8,0,23,3,4,0,20,2,13,0,1
29,569,20,2,1,38,1,1,1,1684,6,1,12,3,1,0,2,1,0,1,1
27,1157,8,4,3,47,2,3,2,4481,4,1,17,3,4,2,10,1,14,1,1
32,871,8,4,1,69,3,3,1,14181,2,0,24,3,1,2,23,1,17,1,1
25,416,16,2,1,43,1,1,1,2866,8,1,13,3,1,0,4,1,0,1,1
29,264,27,1,1,54,1,1,1,2179,7,1,12,3,1,0,2,1,1,1,1
29,1178,18,2,2,96,1,4,2,10470,2,1,13,3,1,2,13,1,17,0,1
28,592,4,1,1,35,2,4,1,12150,2,1,18,3,3,0,7,3,3,1,1
31,1053,3,4,4,98,3,3,4,13722,1,0,18,3,3,1,9,3,12,0,1
47,1251,4,3,4,80,2,2,4,3569,8,0,14,3,3,1,3,3,18,1,1
46,939,25,4,3,71,1,3,2,4460,0,1,21,3,3,0,21,3,17,1,1
23,407,16,1,1,30,1,1,1,2720,5,1,13,3,1,0,4,1,0,1,1
30,818,2,3,4,96,3,2,4,13273,1,0,20,3,3,1,12,3,16,0,1
49,1379,24,2,4,54,1,2,2,1116,6,0,11,3,2,2,23,2,10,1,1
48,1302,3,3,3,75,3,4,4,13826,2,0,22,3,3,2,13,3,8,0,1
44,1281,4,4,4,77,3,3,3,10416,1,0,21,3,4,2,10,3,18,0,1
52,1054,1,1,4,35,3,3,4,10308,2,0,16,3,1,0,5,1,18,0,1
52,476,3,2,2,64,1,3,4,6303,2,0,12,3,1,0,11,1,19,1,1
25,432,15,1,1,39,1,1,1,1959,7,1,12,3,1,0,2,1,2,1,1
47,799,24,4,4,76,2,1,3,1862,7,1,14,3,1,2,15,2,10,1,1
40,1292,3,4,4,74,3,4,4,8323,2,0,16,3,4,2,9,3,5,0,1
49,759,5,2,1,77,1,4,4,12255,6,0,21,3,3,0,21,1,3,1,1
39,986,4,4,4,82,3,2,3,6892,2,0,19,3,4,1,14,3,13,0,1
46,1297,4,4,4,85,3,3,4,14708,2,0,23,3,3,2,9,3,15,0,1
40,494,18,1,1,79,3,2,4,11327,7,1,19,3,1,0,29,3,13,1,1
52,581,17,1,3,66,3,3,4,5074,4,1,11,3,3,2,5,3,7,0,1
28,413,23,1,1,37,1,1,1,1157,6,1,12,3,1,0,3,1,1,1,1
30,858,2,4,4,77,3,4,4,6375,2,0,15,3,4,1,23,3,17,0,1
33,1279,3,3,4,73,3,2,4,14432,1,0,17,3,4,1,24,3,18,0,1
33,1002,3,3,4,83,3,3,3,5929,1,0,19,3,3,1,14,3,11,0,1
25,391,27,2,1,40,1,1,1,1097,5,1,13,3,1,0,2,1,0,1,1
31,294,16,2,1,30,1,1,1,1818,5,1,13,3,1,0,3,1,0,1,1
38,544,24,2,2,60,1,4,4,1413,4,1,17,3,1,0,16,2,9,0,1
48,1240,8,4,4,80,1,2,3,11722,5,1,18,3,2,1,17,2,15,0,1
34,1210,1,3,3,69,3,4,4,6688,2,0,23,3,4,1,23,3,19,0,1
35,649,2,3,1,54,2,3,3,12531,8,1,24,3,1,0,15,3,5,1,1
24,265,17,2,1,38,1,1,1,1399,5,1,12,3,1,0,3,1,0,1,1
53,613,4,1,4,58,1,4,3,1449,2,1,22,3,3,1,0,3,8,0,1
22,1009,23,4,3,61,3,4,1,12266,2,0,11,3,2,2,18,3,4,1,1
45,847,3,3,3,66,3,2,3,6354,2,0,23,3,3,1,16,3,5,0,1
37,1345,2,4,3,78,3,4,3,12870,1,0,22,3,4,2,15,3,17,0,1
