school,sex,age,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,pass,synthetic
1,0,18,1,2,1,0,0,0,0,0,1,1,4,3,3,3,1,25,6,3,0,1
0,1,18,2,0,0,0,0,0,1,1,0,2,2,3,1,2,2,5,12,12,1,1
0,1,18,4,0,0,1,0,1,1,1,0,4,2,2,1,1,4,1,17,18,1,1
1,1,16,2,1,1,0,1,1,0,0,0,3,2,2,1,1,2,7,9,10,0,1
1,1,16,4,3,1,1,1,0,1,1,0,3,3,2,4,1,2,0,10,17,1,1
1,0,16,1,2,1,0,0,0,0,0,1,2,4,4,3,4,1,29,7,4,0,1
1,0,17,2,0,0,1,0,0,0,0,0,2,3,2,1,2,3,10,11,11,1,1
1,0,18,1,2,1,0,0,0,0,1,1,2,3,4,3,3,1,14,4,6,0,1
1,0,21,1,2,1,0,0,0,0,0,1,1,4,4,4,4,1,23,4,7,0,1
1,0,16,1,3,1,0,0,0,0,0,1,2,4,3,3,4,1,26,4,6,0,1
0,0,16,2,1,0,0,0,1,1,1,1,3,2,3,2,2,2,10,10,10,0,1
0,0,16,2,1,1,1,0,0,0,1,0,2,2,3,2,1,2,3,9,11,0,1
1,0,18,4,2,0,0,1,0,1,1,1,3,2,2,3,4,4,16,14,5,1,1
1,1,17,1,3,1,0,0,0,0,1,1,1,4,3,3,4,1,10,7,7,0,1
0,1,18,4,0,0,0,1,1,1,1,0,4,3,1,1,1,4,0,14,15,1,1
0,1,18,3,0,0,1,1,1,1,1,0,4,3,1,1,1,4,0,17,18,1,1
0,1,18,2,0,1,1,0,0,1,0,1,3,3,3,1,2,2,6,8,11,0,1
1,1,17,2,0,1,0,0,1,0,0,0,2,3,3,2,2,2,9,9,11,1,1
1,1,16,1,2,1,0,0,0,0,0,1,1,3,3,3,3,2,15,5,3,0,1
1,1,16,4,2,1,0,0,1,1,1,1,3,3,1,4,4,2,27,15,10,0,1
1,1,17,2,0,0,0,0,0,0,1,1,3,3,2,1,2,2,4,10,12,1,1
0,0,16,2,0,0,0,0,0,1,1,0,3,3,2,1,1,3,8,10,10,1,1
1,0,18,2,0,0,1,1,0,0,1,0,3,2,2,1,1,2,9,8,11,1,1
0,0,17,2,0,1,1,0,0,0,1,0,3,3,3,1,1,3,7,12,11,1,1
0,0,18,2,0,1,1,1,0,0,0,1,2,3,3,2,2,3,10,9,10,1,1
1,1,16,3,2,0,1,1,0,1,1,1,4,4,4,4,1,4,4,10,17,1,1
0,1,16,2,1,0,0,1,1,0,1,0,2,2,3,1,1,3,6,8,8,0,1
0,1,20,1,2,1,0,0,0,0,0,1,1,3,4,4,3,1,18,5,6,0,1
0,1,17,2,0,1,0,1,0,0,1,0,2,3,2,1,2,3,11,11,12,1,1
0,0,18,1,3,1,0,0,0,0,1,1,2,4,3,3,3,1,29,3,3,0,1
1,1,18,2,0,1,0,0,0,1,0,1,2,2,2,2,1,3,3,12,12,1,1
0,1,16,2,1,0,0,1,1,1,1,0,3,3,3,1,1,3,3,12,10,1,1
0,1,17,1,3,1,0,0,0,0,0,1,1,3,4,4,4,1,17,3,3,0,1
1,0,17,3,0,0,0,1,1,1,1,0,4,2,1,1,1,3,2,14,13,1,1
1,1,18,2,1,1,1,1,1,1,0,1,3,3,2,2,1,3,9,9,9,0,1
0,0,16,2,0,1,0,1,1,1,0,0,2,3,2,2,1,3,5,11,11,0,1
1,1,16,1,3,1,0,0,0,0,0,1,2,3,4,4,4,2,26,4,5,0,1
1,1,15,4,2,0,1,0,1,1,1,1,1,1,3,1,2,2,10,16,6,1,1
0,1,18,2,0,0,1,1,1,0,1,1,2,3,3,1,1,2,8,9,11,0,1
1,0,17,3,0,0,0,1,1,1,1,0,3,3,2,1,1,4,4,12,17,1,1
0,0,16,3,0,0,1,1,1,1,1,0,4,3,2,1,1,4,3,17,15,1,1
0,1,17,4,0,0,0,0,1,1,1,0,3,3,1,1,1,4,3,12,15,1,1
0,1,17,1,2,1,0,0,0,0,0,1,2,4,4,3,4,1,13,6,5,0,1
0,0,17,2,0,0,0,1,0,1,1,0,2,2,3,1,1,2,10,9,8,0,1
1,0,18,4,0,0,0,1,1,1,1,0,4,3,2,1,1,3,4,15,15,1,1
0,0,16,3,2,0,0,1,1,1,1,1,4,3,4,3,1,1,22,7,8,1,1
0,1,16,2,1,0,0,1,0,0,1,0,3,3,3,1,1,2,7,9,12,0,1
1,1,17,1,2,1,0,0,0,0,0,1,1,4,3,4,4,1,12,4,5,0,1
0,1,18,2,1,0,1,1,0,1,0,0,2,3,3,1,1,3,9,8,11,0,1
0,1,16,2,1,0,1,1,1,1,0,0,3,3,3,1,1,2,4,10,10,0,1
0,1,15,3,0,0,1,0,1,1,1,0,4,2,2,1,1,4,3,12,14,1,1
0,0,18,3,0,0,0,1,1,1,1,0,3,2,1,1,1,4,1,15,14,1,1
0,1,15,3,0,0,1,0,1,1,1,0,3,2,1,1,1,3,3,15,15,1,1
0,0,17,4,3,0,1,0,1,1,1,1,3,2,1,2,1,3,19,6,13,1,1
0,1,19,3,2,1,1,0,1,1,1,0,2,1,1,2,3,4,5,7,7,1,1
0,0,17,4,3,0,0,0,1,1,1,0,2,2,2,1,4,3,2,8,15,1,1
0,0,17,2,0,1,0,0,1,0,0,1,2,2,2,1,2,3,11,8,12,0,1
1,1,17,4,0,0,1,0,1,1,1,0,3,3,2,1,1,4,4,15,17,1,1
0,0,16,4,2,1,1,0,0,1,1,1,3,4,4,2,4,3,12,15,3,1,1
1,1,16,2,0,0,1,0,0,0,0,0,2,3,3,1,1,3,9,12,10,0,1
0,0,21,4,3,1,0,0,1,1,1,0,3,2,4,2,2,1,28,14,9,1,1
1,0,16,1,2,1,0,0,0,0,0,1,2,3,4,4,4,2,22,5,5,0,1
1,0,17,2,0,1,1,0,1,0,0,1,3,3,3,2,2,3,3,11,8,1,1
1,1,18,1,3,1,0,0,0,0,1,1,2,4,3,3,4,2,12,6,7,0,1
0,0,16,1,3,1,0,0,0,0,0,1,1,4,3,3,4,1,11,4,7,0,1
0,0,15,3,2,0,0,0,0,1,1,1,4,2,3,2,4,2,10,13,5,0,1
1,1,19,3,2,1,0,0,1,1,1,1,3,1,1,3,3,1,25,14,8,0,1
0,1,16,2,0,1,1,1,0,1,1,0,3,3,3,1,1,2,7,10,9,1,1
0,1,18,3,0,0,1,1,1,1,1,0,4,2,2,1,1,4,0,17,18,1,1
1,1,16,2,1,1,0,1,0,1,1,0,2,3,3,2,1,3,3,12,9,1,1
1,0,21,1,3,1,0,0,0,0,0,1,1,3,3,4,4,1,17,5,5,0,1
0,1,15,4,0,0,1,0,1,1,1,0,4,3,2,1,1,4,3,12,14,1,1
1,1,16,2,1,0,0,0,0,1,0,0,3,3,3,1,2,3,9,9,9,1,1
1,0,16,2,1,0,0,0,0,1,0,1,2,2,2,2,1,3,10,9,11,1,1
0,0,18,2,0,0,1,1,1,1,1,1,3,2,2,1,1,3,4,11,11,0,1
0,1,18,1,2,1,0,0,0,0,1,1,2,3,4,3,3,1,28,6,4,0,1
0,1,15,4,0,0,1,0,1,1,1,0,3,2,2,1,1,4,2,14,17,1,1
0,0,15,3,0,0,1,0,1,1,1,0,4,2,1,1,1,4,4,15,17,1,1
1,1,19,1,3,1,0,0,0,0,1,1,2,3,3,4,3,2,11,6,4,0,1
1,1,18,2,1,0,0,1,1,0,1,0,2,3,3,1,1,2,5,9,11,1,1
1,1,17,2,1,1,0,0,0,1,0,0,3,3,3,1,1,3,10,8,11,1,1
0,0,15,3,0,0,1,1,1,1,1,0,3,2,1,1,1,3,0,15,16,1,1
0,0,17,4,2,1,1,1,1,1,1,0,2,4,2,1,1,1,19,10,13,1,1
1,1,16,2,0,0,0,0,1,0,0,0,3,3,3,2,1,2,8,11,10,0,1
1,1,15,3,0,0,0,1,1,1,1,0,4,2,1,1,1,3,2,17,17,1,1
0,0,15,3,3,1,1,1,0,1,1,1,4,3,3,2,2,1,17,15,11,0,1
0,0,17,1,2,1,0,0,0,0,1,1,2,4,3,4,4,1,29,4,4,0,1
1,1,16,2,0,0,1,0,1,1,0,0,3,2,3,1,1,2,4,9,8,1,1
1,0,18,3,3,0,1,1,0,1,1,0,3,3,4,2,1,4,4,11,12,1,1
1,1,17,2,0,0,0,0,0,1,0,0,2,2,2,1,1,3,4,12,11,1,1
1,1,20,1,2,1,0,0,0,0,0,1,1,3,3,3,4,2,16,3,7,0,1
1,1,20,1,2,1,0,0,0,0,1,1,1,3,3,3,4,1,12,6,4,0,1
1,1,17,2,1,1,1,0,0,0,1,1,3,3,3,2,1,2,11,11,12,1,1
0,1,18,2,0,1,0,1,1,1,1,0,2,2,2,1,1,2,7,11,8,1,1
0,1,19,3,3,0,1,1,0,1,1,1,4,1,4,2,3,1,14,14,5,1,1
1,1,17,1,3,1,0,0,0,0,0,1,1,4,4,3,4,1,16,6,4,0,1
0,0,18,2,1,0,1,0,1,1,1,1,3,3,2,2,1,3,10,12,9,0,1
0,1,20,3,3,1,0,1,0,1,1,0,2,4,2,1,1,2,7,10,3,1,1
1,1,18,1,3,1,0,0,0,0,1,1,1,4,3,4,3,2,19,3,4,0,1
0,0,18,4,0,0,0,0,1,1,1,0,3,2,2,1,1,4,4,14,16,1,1
0,1,15,4,0,0,0,0,1,1,1,0,3,3,1,1,1,4,2,16,14,1,1
1,0,16,1,2,1,0,0,0,0,0,1,1,4,4,4,3,2,15,4,7,0,1
1,0,15,4,0,0,0,0,1,1,1,0,4,2,1,1,1,4,0,15,17,1,1
1,1,16,2,1,0,1,0,1,1,1,1,2,3,3,1,2,2,8,9,11,1,1
0,1,21,1,3,1,0,0,0,0,1,1,2,4,4,4,3,1,24,3,4,0,1
0,0,18,4,0,0,0,1,1,1,1,0,4,3,2,1,1,3,4,15,15,1,1
0,1,18,4,0,0,1,0,1,1,1,0,3,3,1,1,1,4,1,12,17,1,1
1,1,17,2,0,1,1,0,0,1,0,1,2,2,3,1,1,2,3,10,10,1,1
1,1,17,1,2,1,0,0,0,0,1,1,1,4,3,3,4,2,14,6,4,0,1
0,1,17,2,1,0,0,1,1,1,1,1,3,2,3,1,2,3,11,12,10,1,1
0,1,16,4,0,0,1,1,1,1,1,0,4,2,2,1,1,3,4,17,13,1,1
1,0,20,4,3,1,0,1,0,1,1,0,1,2,1,1,1,2,7,7,4,1,1
1,0,18,4,0,0,1,1,1,1,1,0,4,3,1,1,1,3,3,13,17,1,1
1,1,15,3,0,0,1,1,1,1,1,0,4,2,1,1,1,3,2,16,15,1,1
0,1,16,3,0,0,1,0,1,1,1,0,3,3,1,1,1,3,2,12,15,1,1
1,1,16,3,0,0,0,1,1,1,1,0,4,3,1,1,1,4,3,12,17,1,1
1,0,17,2,0,1,0,0,1,0,1,1,2,2,2,1,2,3,9,12,12,1,1
0,1,20,3,2,1,1,0,0,1,1,1,3,2,4,3,1,1,12,7,12,1,1
0,1,16,2,0,1,1,0,0,0,1,0,2,2,3,2,1,2,6,9,11,1,1
1,0,16,2,0,1,0,1,1,0,1,0,2,2,3,1,2,2,11,8,9,1,1
0,1,16,4,0,0,1,1,1,1,1,0,4,2,2,1,1,3,1,14,18,1,1
0,0,18,2,1,0,0,0,1,1,0,0,2,3,2,2,1,2,3,12,10,1,1
0,0,18,3,0,0,1,1,1,1,1,0,3,3,2,1,1,3,3,14,15,1,1
0,1,15,3,0,0,1,1,1,1,1,0,4,3,2,1,1,4,3,12,13,1,1
0,1,17,3,3,1,1,1,0,1,1,0,1,2,3,2,3,2,9,7,6,1,1
1,1,20,1,2,1,0,0,0,0,1,1,1,4,4,4,4,2,20,4,3,0,1
0,0,15,4,2,1,1,1,0,1,1,1,2,4,2,4,1,4,18,16,3,1,1
1,1,20,3,2,0,1,0,0,1,1,1,1,1,2,1,2,4,13,10,16,0,1
1,0,18,4,0,0,1,0,1,1,1,0,3,3,2,1,1,3,4,13,14,1,1
0,1,17,4,0,0,0,0,1,1,1,0,3,2,2,1,1,4,4,17,15,1,1
0,1,18,2,0,1,0,0,0,1,0,1,2,2,3,1,1,3,10,8,11,0,1
1,1,17,4,3,1,1,0,0,1,1,1,1,4,2,3,3,3,1,11,15,0,1
1,1,17,2,1,1,1,0,1,1,0,1,2,2,3,1,2,2,9,10,12,1,1
0,1,19,1,3,1,0,0,0,0,1,1,2,3,4,3,4,1,17,7,4,0,1
1,1,16,2,0,1,0,0,0,1,0,1,2,3,2,2,2,2,6,11,9,1,1
0,1,18,2,0,0,1,0,1,1,0,1,3,3,3,1,1,3,5,12,11,1,1
0,0,17,1,2,1,0,0,0,0,1,1,1,3,4,3,3,1,22,3,3,0,1
1,1,18,2,0,0,1,0,1,1,0,0,2,3,3,1,1,3,4,10,12,0,1
1,1,15,4,0,0,0,0,1,1,1,0,3,2,1,1,1,3,1,14,18,1,1
0,0,18,3,0,0,1,0,1,1,1,0,3,3,2,1,1,3,3,17,14,1,1
0,0,16,3,0,0,0,1,1,1,1,0,3,3,2,1,1,3,3,15,16,1,1
1,1,16,1,3,1,0,0,0,0,0,1,2,4,4,4,4,2,16,5,6,0,1
1,1,17,2,0,1,0,0,1,1,0,0,3,3,2,2,2,3,11,12,11,1,1
0,1,17,1,3,1,0,0,0,0,1,1,1,4,4,3,4,1,19,4,6,0,1
1,0,16,2,1,0,1,0,0,0,1,0,3,2,2,1,1,2,11,12,8,0,1
1,0,16,3,0,0,0,1,1,1,1,0,3,2,1,1,1,4,4,16,14,1,1
0,0,21,1,2,1,0,0,0,0,0,1,2,4,4,4,4,1,19,7,7,0,1
1,0,16,4,3,1,1,0,0,1,1,0,2,4,4,3,4,2,27,13,12,0,1
0,0,18,4,0,0,0,0,1,1,1,0,4,3,1,1,1,4,3,17,17,1,1
1,1,17,2,0,0,0,1,1,1,1,0,2,3,2,2,2,2,10,11,8,1,1
1,0,19,1,2,1,0,0,0,0,0,1,1,4,3,3,3,1,20,6,4,0,1
1,1,15,4,0,0,0,0,1,1,1,0,4,2,1,1,1,3,1,13,16,1,1
1,1,18,2,1,0,0,0,0,1,0,1,3,2,3,1,1,3,10,12,11,1,1
1,1,16,4,0,0,1,0,1,1,1,0,4,2,2,1,1,3,0,16,17,1,1
0,1,17,2,1,0,0,0,1,0,0,0,2,2,3,1,2,3,7,10,12,1,1
1,1,16,4,2,1,1,0,0,1,1,1,3,4,4,1,1,4,1,8,5,1,1
1,1,20,1,3,1,0,0,0,0,1,1,2,4,3,3,3,2,11,3,5,0,1
1,0,16,1,2,1,0,0,0,0,1,1,2,4,3,3,4,1,24,5,5,0,1
0,1,16,4,0,0,0,1,1,1,1,0,4,3,1,1,1,3,0,15,16,1,1
0,0,21,3,3,1,0,0,1,1,1,0,3,1,3,1,1,1,13,6,16,1,1
0,0,17,4,2,0,1,0,0,1,1,1,3,3,3,3,3,2,23,16,8,1,1
1,1,17,3,3,0,1,0,1,1,1,0,1,4,4,2,2,2,22,8,11,0,1
0,1,17,3,3,1,0,0,1,1,1,0,1,3,4,3,1,4,18,17,6,1,1
0,0,18,4,0,0,0,1,1,1,1,0,3,3,1,1,1,4,3,12,18,1,1
0,0,18,2,1,1,0,1,0,1,1,1,3,2,2,2,2,2,10,12,8,1,1
0,0,18,4,0,0,1,0,1,1,1,0,3,2,1,1,1,4,3,16,15,1,1
0,0,16,1,2,1,0,0,0,0,0,1,2,3,3,4,4,2,10,7,6,0,1
1,0,21,3,2,1,1,0,1,1,1,1,1,3,2,4,1,1,18,6,9,0,1
1,1,18,3,0,0,0,1,1,1,1,0,4,3,2,1,1,4,2,12,13,1,1
1,1,21,1,2,1,0,0,0,0,1,1,1,3,4,4,4,1,17,5,6,0,1
0,0,20,1,2,1,0,0,0,0,0,1,2,4,3,4,3,2,26,7,7,0,1
1,0,16,4,0,0,0,1,1,1,1,0,4,2,2,1,1,3,4,16,13,1,1
1,0,16,4,0,0,0,0,1,1,1,0,4,2,1,1,1,3,0,16,15,1,1
0,0,21,3,3,0,1,0,0,1,1,0,3,2,1,1,4,4,18,14,10,1,1
0,1,16,2,1,0,0,1,0,1,1,0,3,2,2,2,1,3,9,8,11,1,1
1,1,16,1,2,1,0,0,0,0,1,1,2,3,3,3,4,2,29,3,3,0,1
0,0,16,1,2,1,0,0,0,0,1,1,1,3,3,4,4,1,20,7,4,0,1
0,1,16,2,0,0,1,0,1,1,0,0,3,2,3,1,2,3,10,9,8,0,1
0,0,16,1,2,1,0,0,0,0,0,1,1,4,3,3,4,1,15,6,7,0,1
1,1,18,2,0,0,0,0,1,1,1,1,3,3,3,1,1,3,11,10,9,0,1
1,1,16,2,1,0,1,1,1,0,0,1,2,3,2,1,1,3,5,12,9,1,1
0,0,18,1,3,1,0,0,0,0,0,1,1,3,4,4,3,2,11,6,6,0,1
0,1,16,2,0,1,0,1,1,1,0,0,2,2,3,2,1,3,8,10,10,1,1
1,0,20,1,2,1,0,0,0,0,0,1,2,4,3,4,3,1,19,6,7,0,1
1,1,17,1,3,1,0,0,0,0,0,1,1,3,3,3,3,2,29,3,7,0,1
1,1,19,3,2,0,0,1,0,1,1,1,1,3,3,3,3,2,1,15,5,1,1
1,0,18,3,0,0,1,0,1,1,1,0,3,3,1,1,1,3,3,16,15,1,1
1,0,18,3,0,0,0,0,1,1,1,0,3,3,2,1,1,4,0,13,15,1,1
0,1,18,3,0,0,0,0,1,1,1,0,4,3,1,1,1,3,2,16,14,1,1
0,0,17,2,0,1,0,0,1,0,0,1,3,2,3,2,2,3,3,10,10,1,1
1,1,20,3,2,1,1,1,0,1,1,0,2,4,3,3,3,3,24,5,4,0,1
1,0,16,4,2,0,0,0,1,1,1,0,1,3,4,3,1,4,19,15,3,0,1
1,1,18,2,0,1,0,0,0,0,0,1,2,2,2,2,2,3,8,12,10,0,1
1,1,17,2,0,1,1,1,0,1,0,1,3,2,3,1,1,2,4,9,8,1,1
0,0,16,1,3,1,0,0,0,0,0,1,1,3,3,3,3,2,17,7,6,0,1
0,0,18,2,1,0,1,0,0,1,1,1,3,3,3,1,2,2,5,10,11,0,1
1,0,19,3,2,1,1,1,1,1,1,0,3,2,2,4,4,2,27,4,4,1,1
0,0,19,1,3,1,0,0,0,0,0,1,1,4,3,4,4,2,16,7,3,0,1
1,0,16,2,0,0,0,0,0,0,1,0,2,2,2,2,2,3,6,11,11,1,1
1,1,17,2,1,0,1,0,1,1,0,1,2,2,2,2,2,3,9,9,9,1,1
0,0,16,2,0,0,0,0,1,0,1,1,3,3,3,1,1,3,4,8,12,1,1
0,1,18,2,0,0,0,0,0,0,1,1,3,3,3,1,1,2,5,8,11,0,1
1,0,16,3,0,0,0,1,1,1,1,0,3,2,2,1,1,3,1,16,17,1,1
0,0,18,3,2,1,0,0,1,1,1,0,1,4,3,3,4,1,9,3,7,1,1
1,1,15,3,2,1,1,1,1,1,1,0,4,1,4,3,1,1,17,7,15,1,1
1,0,15,4,2,1,1,1,0,1,1,1,1,3,1,1,2,1,23,10,9,1,1
1,1,16,2,1,1,1,1,0,1,0,1,2,2,2,1,1,3,8,9,12,1,1
1,1,15,3,0,0,1,1,1,1,1,0,4,3,1,1,1,4,1,14,13,1,1
1,0,17,2,1,1,0,0,0,1,1,1,3,3,2,2,1,3,3,11,9,1,1
0,1,17,3,0,0,1,0,1,1,1,0,4,2,2,1,1,3,4,12,13,1,1
0,1,16,2,1,1,1,1,0,0,1,0,2,3,2,1,1,3,10,8,8,1,1
1,0,19,1,3,1,0,0,0,0,0,1,1,3,3,4,4,2,22,6,6,0,1
1,1,15,3,0,0,0,1,1,1,1,0,4,3,2,1,1,3,3,17,13,1,1
1,1,17,4,0,0,0,1,1,1,1,0,3,3,1,1,1,3,2,14,17,1,1
1,1,18,2,0,1,0,0,0,0,0,1,3,3,3,2,1,2,11,9,9,0,1
1,1,15,3,3,1,0,1,1,1,1,0,2,3,4,1,2,1,13,7,8,1,1
1,1,20,4,3,0,0,1,0,1,1,1,2,1,4,4,1,3,11,3,3,1,1
1,0,21,4,3,1,0,1,1,1,1,0,4,4,4,4,3,2,29,11,14,0,1
1,0,21,1,3,1,0,0,0,0,1,1,2,4,4,4,3,1,11,3,5,0,1
1,1,17,1,2,1,0,0,0,0,1,1,1,4,4,4,4,2,24,3,5,0,1
0,1,17,2,1,0,1,1,0,0,1,1,2,3,3,2,2,2,7,9,11,1,1
1,1,18,2,1,0,0,0,0,0,1,0,2,3,3,1,2,3,9,10,9,0,1
0,0,16,1,2,1,0,0,0,0,1,1,2,3,4,3,3,1,16,5,4,0,1
1,0,19,1,2,1,0,0,0,0,1,1,1,3,4,4,3,2,10,4,4,0,1
1,0,16,3,2,0,0,0,1,1,1,0,1,2,2,4,1,1,28,6,7,1,1
0,0,18,1,3,1,0,0,0,0,1,1,1,3,3,4,3,1,16,4,7,0,1
1,0,17,1,3,1,0,0,0,0,0,1,2,4,3,3,4,1,25,5,6,0,1
0,1,17,2,0,0,0,0,0,0,1,0,3,2,2,2,2,2,10,9,11,0,1
0,0,16,2,1,1,0,0,0,0,1,0,3,2,2,1,1,3,8,12,8,1,1
0,1,15,3,0,0,1,0,1,1,1,0,4,2,2,1,1,3,3,15,16,1,1
0,1,17,3,0,0,0,0,1,1,1,0,3,3,2,1,1,4,4,12,15,1,1
0,1,18,1,2,1,0,0,0,0,1,1,2,3,4,4,4,1,17,3,5,0,1
1,1,18,1,3,1,0,0,0,0,0,1,2,3,3,3,4,2,26,6,6,0,1
0,0,16,2,1,0,0,0,0,0,1,0,2,2,3,2,2,2,9,10,8,0,1
0,0,17,2,0,0,1,0,0,0,0,0,3,3,3,2,1,2,3,8,11,1,1
0,1,16,2,0,0,1,0,1,1,1,1,3,3,2,1,1,3,5,9,8,1,1
0,1,18,2,0,0,1,0,0,0,1,0,2,2,2,1,2,3,10,12,10,0,1
0,0,17,1,2,1,0,0,0,0,1,1,1,4,4,3,4,2,28,3,7,0,1
1,1,17,3,0,0,1,1,1,1,1,0,3,2,1,1,1,4,3,15,13,1,1
1,0,18,2,0,0,1,0,1,0,0,0,3,3,2,2,2,2,3,9,8,0,1
0,1,17,2,0,0,1,0,0,1,1,0,2,2,3,1,1,3,8,12,11,0,1
0,1,16,1,2,1,0,0,0,0,1,1,2,4,3,4,3,2,15,4,7,0,1
0,0,16,4,3,0,0,0,0,1,1,1,3,3,3,2,2,1,2,4,14,1,1
1,1,18,2,0,0,0,0,0,1,1,0,2,3,3,2,1,3,5,9,12,1,1
1,0,18,2,1,0,0,1,1,1,0,0,3,2,3,2,1,3,3,10,9,0,1
0,0,16,3,0,0,1,0,1,1,1,0,3,3,2,1,1,4,1,17,13,1,1
0,0,15,4,0,0,0,0,1,1,1,0,3,3,1,1,1,3,1,15,13,1,1
1,1,17,2,1,1,0,1,1,0,1,1,2,3,2,1,1,2,6,12,10,0,1
0,1,19,1,2,1,0,0,0,0,0,1,1,3,4,4,4,1,17,3,7,0,1
1,1,21,4,2,0,0,1,0,1,1,0,4,2,4,3,1,2,2,16,12,0,1
1,1,18,2,1,1,1,0,0,1,0,0,2,3,3,1,2,3,3,10,10,1,1
0,0,21,1,2,1,0,0,0,0,0,1,1,3,4,4,3,2,14,3,4,0,1
0,1,16,2,1,0,0,1,1,1,1,1,3,3,2,1,1,3,4,9,10,1,1
1,1,18,3,0,0,0,0,1,1,1,0,4,3,2,1,1,4,0,14,18,1,1
